Production ID,Production Date,Factory,Production Line,Shift,Machine ID,Machine Type,Operator ID,Product Category,Planned Production,Actual Production,Defective Units,Downtime (Minutes),Production Hours,Energy Consumption (kWh),Maintenance Cost ($),Unit Production Cost ($),Temperature (°C),Humidity (%),Quality Inspection Score
P00179,2025-10-21,Factory C,Line A,Morning,M133,Automatic,OP1006,Refrigerator,310,312,7,5.0,12,672,1019.15,88.79,36.6,37,82.1
P00180,2025-06-14,Factory A,Line D,Night,M121,Semi-Automatic,OP1010,Air Conditioner,394,381,11,15.0,8,483,635.64,244.2,18.9,60,62.8
P00181,2025-06-09,Factory B,Line A,Night,M130,Automatic,OP1048,Television,418,397,18,72.0,10,1057,1594.52,222.17,29.8,66,99.9
P00182,2025-05-06,Factory A,Line A,Afternoon,M102,Automatic,OP1070,Washing Machine,280,226,0,42.0,8,1077,1677.53,385.83,32.5,41,68.2
P00183,2025-09-09,Factory A,Line B,Night,M118,Automatic,OP1006,Television,301,263,16,52.0,10,769,2438.93,61.08,19.9,43,85.5
P00184,2025-10-31,Factory C,Line A,Afternoon,M109,Automatic,OP1038,Washing Machine,381,387,27,40.0,12,1017,2096.56,163.66,27.1,49,63.0
P00185,2025-10-27,Factory A,Line B,Morning,M111,Semi-Automatic,OP1060,Washing Machine,283,281,13,15.0,10,1088,598.33,156.03,23.3,42,63.6
P00186,2025-04-21,Factory B,Line B,Morning,M116,Semi-Automatic,OP1051,Air Conditioner,335,345,1,86.0,10,566,2068.22,98.89,37.0,63,82.2
P00187,2025-02-18,Factory B,Line A,Morning,M108,Automatic,OP1008,Television,461,445,8,25.0,12,681,1747.08,423.47,19.7,72,70.4
P00188,2025-02-03,Factory A,Line D,Morning,M106,Semi-Automatic,OP1016,Refrigerator,218,231,14,6.0,9,887,1139.58,332.88,27.9,59,87.3
P00189,2025-04-20,Factory A,Line C,Afternoon,M129,Automatic,OP1005,Air Conditioner,268,238,19,78.0,9,962,808.25,200.1,29.0,38,63.5
P00190,2025-08-03,Factory A,Line B,Night,M135,Automatic,OP1049,Washing Machine,376,374,15,69.0,12,652,2290.42,238.52,25.8,46,61.0
P00191,2025-01-16,Factory B,Line A,Afternoon,M134,Semi-Automatic,OP1099,Air Conditioner,485,472,14,20.0,8,553,1676.47,138.27,34.3,82,62.2
P00192,2025-07-18,Factory B,Line B,Morning,M116,Manual,OP1041,Washing Machine,292,234,18,3.0,10,881,1452.66,264.32,21.8,66,81.7
P00193,2025-01-20,Factory A,Line A,Morning,M139,Automatic,OP1003,Air Conditioner,269,222,15,0.0,10,928,583.51,80.46,32.3,55,62.4
P00194,2025-12-27,Factory A,Line A,Night,M124,Automatic,OP1048,Microwave,255,195,3,43.0,10,630,427.48,91.94,37.0,85,85.6
P00195,2025-03-31,Factory C,Line C,Morning,M138,Automatic,OP1049,Washing Machine,429,404,18,16.0,9,1046,104.31,323.35,29.5,84,98.6
P00196,2025-11-05,Factory B,Line B,Night,M137,Automatic,OP1064,Television,196,188,10,95.0,8,543,932.34,160.8,30.7,40,92.9
P00197,2025-01-06,Factory B,Line B,Morning,M105,Semi-Automatic,OP1033,Refrigerator,351,309,23,0.0,8,695,1151.73,203.35,21.3,61,79.7
P00198,2025-10-07,Factory B,Line A,Afternoon,M137,Manual,OP1098,Television,373,344,5,57.0,8,1118,2129.83,150.34,24.4,41,63.0
P00199,2025-03-24,Factory C,Line A,Night,M106,Semi-Automatic,OP1077,Air Conditioner,267,234,15,90.0,8,741,2361.86,95.12,35.8,45,62.1
P00200,2025-04-08,Factory B,Line C,Night,M119,Semi-Automatic,OP1031,Refrigerator,349,338,1,50.0,12,457,230.81,26.62,19.8,77,85.0
P00201,2025-02-19,Factory A,Line B,Morning,M119,Automatic,OP1061,Refrigerator,425,415,19,100.0,12,782,1273.83,305.94,19.8,69,75.5
P00202,2025-07-09,Factory A,Line D,Morning,M117,Semi-Automatic,OP1060,Washing Machine,369,336,7,107.0,10,877,247.93,344.7,31.3,40,86.7
P00203,2025-10-29,Factory A,Line A,Afternoon,M134,Semi-Automatic,OP1069,Microwave,457,420,15,60.0,10,380,1047.53,387.92,18.7,71,96.0
P00204,2025-03-03,Factory B,Line B,Morning,M114,Automatic,OP1017,Refrigerator,472,469,27,10.0,12,506,2493.45,291.57,34.7,51,72.8
P00205,2025-07-18,Factory C,Line D,Night,M121,Semi-Automatic,OP1067,Microwave,214,218,0,100.0,12,415,1094.66,87.98,29.8,83,98.6
P00206,2025-10-16,Factory A,Line C,Night,M123,Semi-Automatic,OP1034,Microwave,231,233,15,73.0,12,338,513.28,196.26,30.4,78,87.7
P00207,2025-06-19,Factory C,Line B,Morning,M131,Semi-Automatic,OP1048,Refrigerator,199,164,5,104.0,10,618,772.83,233.94,31.9,41,98.9
P00208,2025-06-03,Factory C,Line D,Afternoon,M118,Manual,OP1054,Air Conditioner,296,294,20,11.0,9,752,607.34,375.19,32.8,83,80.7
P00209,2025-09-21,Factory A,Line A,Afternoon,M133,Semi-Automatic,OP1018,Air Conditioner,371,379,28,72.0,8,477,562.63,379.0,34.7,50,61.3
P00210,2025-12-27,Factory A,Line C,Afternoon,M130,Manual,OP1051,Refrigerator,205,174,10,3.0,9,681,1273.09,214.59,37.2,65,83.5
P00211,2025-03-25,Factory B,Line A,Afternoon,M102,Semi-Automatic,OP1007,Television,359,330,18,99.0,9,1177,631.24,120.67,22.1,76,76.4
P00212,2025-08-31,Factory A,Line B,Night,M101,Automatic,OP1033,Air Conditioner,190,204,9,91.0,10,733,2249.16,386.92,27.2,48,78.7
P00213,2025-10-27,Factory A,Line A,Night,M124,Manual,OP1083,Air Conditioner,446,411,18,38.0,8,793,253.21,445.05,30.8,52,70.4
P00214,2025-03-18,Factory C,Line B,Morning,M139,Semi-Automatic,OP1085,Washing Machine,332,323,21,17.0,8,971,1293.69,150.63,36.1,60,75.5
P00215,2025-12-29,Factory C,Line B,Afternoon,M115,Manual,OP1069,Microwave,198,139,10,45.0,10,1165,507.97,304.49,29.2,53,63.9
P00216,2025-10-14,Factory A,Line C,Night,M106,Automatic,OP1046,Television,245,227,9,53.0,10,680,725.34,149.97,35.0,65,62.1
P00217,2025-11-14,Factory A,Line D,Morning,M133,Automatic,OP1088,Microwave,478,419,33,,12,355,2190.04,89.08,37.8,56,
P00218,2025-03-15,Factory B,Line B,Morning,M132,Semi-Automatic,OP1081,Television,471,428,20,81.0,8,304,1184.93,113.99,33.5,71,90.6
P00219,2025-03-08,Factory C,Line D,Night,M128,Semi-Automatic,OP1055,Microwave,430,434,24,0.0,8,846,578.59,183.57,18.3,55,90.3
P00220,2025-01-10,Factory C,Line A,Night,M116,Automatic,OP1089,Washing Machine,451,442,19,16.0,8,692,1308.01,155.1,19.3,37,71.9
P00221,2025-09-24,Factory C,Line C,Afternoon,M109,Semi-Automatic,OP1063,Washing Machine,328,285,6,21.0,12,319,648.2,334.05,20.6,81,60.9
P00222,2025-03-05,Factory B,Line A,Afternoon,M117,Manual,OP1080,Refrigerator,438,432,3,84.0,8,969,2106.69,45.5,20.3,63,75.2
P00223,2025-08-31,Factory C,Line B,Morning,M101,Semi-Automatic,OP1054,Refrigerator,460,443,33,34.0,9,728,2093.57,69.59,32.4,42,71.3
P00224,2025-04-12,Factory C,Line B,Afternoon,M134,Automatic,OP1046,Microwave,234,186,4,20.0,8,861,1291.25,113.27,36.7,56,69.4
P00225,2025-02-26,Factory C,Line D,Morning,M106,Manual,OP1010,Refrigerator,186,190,8,82.0,9,767,2472.8,150.81,27.3,41,92.5
P00226,2025-07-04,Factory C,Line C,Afternoon,M108,Automatic,OP1098,Refrigerator,200,178,0,109.0,9,979,1653.28,164.68,35.9,74,70.7
P00227,2025-06-25,Factory A,Line A,Afternoon,M126,Semi-Automatic,OP1035,Microwave,227,195,15,102.0,12,964,2226.7,95.88,20.7,81,62.3
P00228,2025-08-02,Factory C,Line D,Night,M129,Automatic,OP1079,Microwave,261,263,11,78.0,8,1183,1742.71,381.38,37.5,43,79.3
P00229,2025-07-30,Factory B,Line A,Morning,M117,Manual,OP1041,Refrigerator,429,430,33,98.0,9,985,2195.54,245.62,31.8,74,63.8
P00230,2025-06-27,Factory C,Line D,Morning,M136,Manual,OP1007,Refrigerator,307,261,20,119.0,9,817,2137.23,387.05,35.4,39,90.1
P00231,2025-06-19,Factory B,Line A,Night,M115,Manual,OP1083,Microwave,344,329,12,104.0,9,380,1201.83,365.54,27.0,66,77.9
P00232,2025-12-01,Factory A,Line A,Afternoon,M127,Automatic,OP1072,Air Conditioner,240,192,0,105.0,8,1110,1550.09,288.1,24.1,67,82.5
P00233,2025-07-06,Factory A,Line B,Afternoon,M122,Manual,OP1099,Air Conditioner,413,385,19,60.0,10,1033,1186.08,66.41,31.2,35,73.7
P00234,2025-09-25,Factory B,Line A,Morning,M111,Semi-Automatic,OP1018,Microwave,329,274,3,32.0,9,492,389.79,387.18,22.3,85,67.6
P00235,2025-08-01,Factory A,Line A,Afternoon,M130,Manual,OP1076,Air Conditioner,353,355,4,63.0,8,843,1866.91,260.12,26.7,72,79.3
P00236,2025-12-21,Factory C,Line B,Night,M109,Automatic,OP1050,Air Conditioner,440,433,20,64.0,12,728,2450.8,414.26,33.2,52,75.9
P00237,2025-08-20,Factory A,Line B,Afternoon,M139,Manual,OP1096,Air Conditioner,355,333,9,107.0,10,1028,1868.36,260.27,22.3,48,85.0
P00238,2025-12-11,Factory A,Line B,Night,M135,Manual,OP1082,Washing Machine,328,299,22,14.0,10,875,1252.89,267.52,31.3,61,87.0
P00239,2025-08-05,Factory A,Line A,Morning,M125,Automatic,OP1007,Refrigerator,453,432,12,34.0,9,593,1740.14,87.23,19.2,85,71.8
P00240,2025-07-03,Factory B,Line A,Night,M136,Automatic,OP1096,Air Conditioner,457,468,24,30.0,10,1009,1694.78,418.76,25.8,85,99.0
P00241,2025-01-28,Factory A,Line C,Morning,M140,Semi-Automatic,OP1029,Washing Machine,340,285,18,69.0,9,1094,1839.79,107.24,27.0,78,63.0
P00242,2025-03-03,Factory B,Line A,Afternoon,M118,Manual,OP1034,Television,268,218,5,74.0,10,305,893.35,326.62,21.1,44,97.1
P00243,2025-11-17,Factory C,Line C,Afternoon,M137,Manual,OP1046,Refrigerator,485,494,20,,9,488,1349.46,359.16,21.2,69,
P00244,2025-04-24,Factory A,Line C,Afternoon,M124,Semi-Automatic,OP1028,Air Conditioner,227,198,15,71.0,8,417,1705.45,214.41,36.1,74,96.7
P00245,2025-12-16,Factory B,Line D,Morning,M125,Semi-Automatic,OP1070,Washing Machine,304,314,0,116.0,10,826,2026.76,214.36,18.9,76,67.7
P00246,2025-02-19,Factory A,Line A,Night,M105,Automatic,OP1086,Television,443,448,27,106.0,8,510,1390.61,323.67,37.5,84,77.4
P00247,2025-01-13,Factory B,Line C,Morning,M106,Automatic,OP1007,Television,216,212,8,71.0,8,888,2071.89,412.17,26.2,63,85.2
P00248,2025-01-09,Factory B,Line A,Night,M101,Manual,OP1093,Air Conditioner,401,376,2,96.0,8,1017,2135.8,177.02,28.1,53,91.5
P00249,2025-05-25,Factory B,Line D,Afternoon,M102,Semi-Automatic,OP1021,Air Conditioner,334,338,7,17.0,12,1115,2013.96,256.93,37.2,44,71.9
P00250,2025-10-11,Factory C,Line B,Morning,M103,Automatic,OP1074,Air Conditioner,371,385,12,68.0,8,612,604.13,340.11,32.5,48,76.5
P00251,2025-03-24,Factory A,Line B,Night,M117,Automatic,OP1015,Television,442,439,3,108.0,12,960,1419.2,148.53,19.3,41,67.9
P00252,2025-06-19,Factory B,Line B,Night,M116,Automatic,OP1037,Air Conditioner,477,430,4,115.0,9,625,1266.07,164.55,31.2,79,83.4
P00253,2025-07-06,Factory B,Line D,Morning,M101,Semi-Automatic,OP1032,Television,469,412,27,35.0,10,437,1730.99,165.91,27.6,63,74.3
P00254,2025-10-10,Factory A,Line B,Night,M139,Automatic,OP1036,Television,336,289,17,25.0,10,1051,2227.21,57.5,19.5,36,94.0
P00255,2025-10-24,Factory B,Line B,Morning,M136,Semi-Automatic,OP1070,Air Conditioner,195,136,7,83.0,9,674,1042.0,403.86,29.8,53,65.4
P00256,2025-02-16,Factory B,Line C,Night,M101,Manual,OP1031,Air Conditioner,436,386,21,21.0,9,756,482.13,265.7,29.3,44,89.4
P00257,2025-01-21,Factory A,Line D,Morning,M105,Semi-Automatic,OP1048,Television,427,397,2,85.0,9,830,2278.54,178.53,27.4,64,95.3
P00258,2025-02-22,Factory C,Line C,Night,M117,Manual,OP1070,Air Conditioner,200,174,2,48.0,12,674,1510.43,406.75,19.6,51,75.1
P00259,2025-07-27,Factory B,Line C,Afternoon,M131,Manual,OP1001,Air Conditioner,294,243,4,56.0,9,535,285.01,298.48,22.2,46,66.3
P00260,2025-12-05,Factory A,Line D,Afternoon,M108,Semi-Automatic,OP1087,Microwave,488,488,30,26.0,9,962,2100.08,34.54,18.9,71,83.7
P00261,2025-01-21,Factory C,Line B,Morning,M111,Semi-Automatic,OP1024,Air Conditioner,248,198,12,76.0,8,1199,1826.91,306.24,23.7,40,68.7
P00262,2025-09-04,Factory A,Line B,Afternoon,M139,Automatic,OP1075,Television,490,445,32,33.0,9,1041,1745.42,417.0,29.9,39,69.2
P00263,2025-02-25,Factory A,Line B,Night,M133,Manual,OP1054,Television,377,376,19,12.0,9,787,2263.86,279.92,35.6,69,80.1
P00264,2025-09-04,Factory C,Line B,Night,M135,Automatic,OP1100,Microwave,240,244,16,53.0,10,1195,204.25,250.17,22.6,65,91.6
P00265,2025-10-29,Factory C,Line A,Afternoon,M109,Semi-Automatic,OP1062,Television,375,346,27,10.0,10,912,2204.24,198.67,21.8,80,89.7
P00266,2025-09-25,Factory A,Line A,Afternoon,M114,Manual,OP1041,Microwave,183,125,5,13.0,9,736,1663.78,132.79,35.1,62,82.6
P00267,2025-12-15,Factory B,Line B,Afternoon,M136,Manual,OP1062,Television,493,473,23,71.0,12,559,2472.42,270.5,33.5,60,89.4
P00268,2025-08-17,Factory C,Line B,Morning,M114,Manual,OP1052,Washing Machine,240,226,17,78.0,8,464,1033.85,295.25,34.1,44,78.9
P00269,2025-02-15,Factory A,Line C,Morning,M124,Automatic,OP1078,Refrigerator,487,447,24,119.0,12,928,1674.82,146.75,37.3,38,97.8
P00270,2025-08-13,Factory A,Line B,Night,M134,Semi-Automatic,OP1025,Refrigerator,269,221,16,66.0,9,929,506.76,40.33,22.8,35,99.0
P00271,2025-07-24,Factory B,Line D,Afternoon,M138,Automatic,OP1067,Refrigerator,224,204,2,117.0,8,862,782.79,377.65,36.3,57,73.9
P00272,2025-11-07,Factory A,Line D,Afternoon,M137,Automatic,OP1034,Television,321,308,13,,8,872,273.73,150.06,36.9,67,
P00273,2025-05-09,Factory C,Line D,Afternoon,M137,Semi-Automatic,OP1099,Television,455,397,21,99.0,12,997,1205.73,274.4,18.5,42,70.3
P00274,2025-12-13,Factory C,Line B,Afternoon,M127,Semi-Automatic,OP1067,Air Conditioner,375,362,0,89.0,10,554,789.49,194.55,33.0,56,63.0
P00275,2025-06-10,Factory B,Line B,Night,M118,Automatic,OP1096,Television,271,226,15,94.0,9,540,1865.03,395.92,22.1,47,93.4
P00276,2025-03-21,Factory A,Line A,Morning,M132,Manual,OP1001,Air Conditioner,496,466,2,108.0,12,680,1589.6,234.24,37.7,71,94.8
P00277,2025-09-19,Factory B,Line D,Morning,M137,Automatic,OP1007,Air Conditioner,431,423,27,61.0,8,814,933.49,390.67,33.5,64,99.1
P00278,2025-06-11,Factory C,Line A,Morning,M114,Semi-Automatic,OP1075,Refrigerator,445,402,20,46.0,10,491,1416.55,125.78,27.4,74,73.7
P00279,2025-08-06,Factory A,Line D,Night,M124,Semi-Automatic,OP1052,Washing Machine,274,226,14,23.0,9,889,1746.43,371.03,32.4,50,82.2
P00280,2025-03-16,Factory C,Line B,Afternoon,M101,Automatic,OP1054,Microwave,375,365,4,114.0,10,1104,1267.89,131.66,35.2,38,75.9
P00281,2025-04-21,Factory B,Line D,Night,M107,Semi-Automatic,OP1096,Washing Machine,263,271,8,46.0,10,873,1437.98,369.26,24.9,61,64.8
P00282,2025-10-23,Factory C,Line B,Afternoon,M123,Semi-Automatic,OP1087,Air Conditioner,490,480,31,99.0,12,380,1014.57,146.77,30.6,44,94.7
P00283,2025-11-20,Factory C,Line D,Morning,M106,Automatic,OP1044,Television,352,314,10,40.0,10,1027,741.93,298.97,23.4,63,91.2
P00284,2025-09-24,Factory B,Line D,Morning,M112,Automatic,OP1017,Television,365,305,21,32.0,8,515,500.59,68.78,19.3,65,81.9
P00285,2025-09-26,Factory A,Line A,Afternoon,M140,Automatic,OP1011,Microwave,193,158,4,29.0,9,1055,782.02,291.25,20.6,45,61.1
P00286,2025-09-01,Factory B,Line C,Night,M129,Automatic,OP1090,Air Conditioner,362,336,5,75.0,12,946,1897.39,397.85,26.7,75,85.6
P00287,2025-09-04,Factory C,Line B,Morning,M129,Semi-Automatic,OP1047,Microwave,338,309,8,19.0,10,310,100.22,371.54,35.0,57,71.5
P00288,2025-12-19,Factory B,Line D,Afternoon,M101,Semi-Automatic,OP1038,Air Conditioner,453,467,14,101.0,8,861,996.75,199.99,29.2,60,70.0
P00289,2025-04-23,Factory B,Line A,Afternoon,M116,Manual,OP1098,Air Conditioner,379,346,25,88.0,10,591,1656.3,251.08,23.4,47,94.1
P00290,2025-05-29,Factory A,Line D,Night,M129,Semi-Automatic,OP1090,Air Conditioner,273,271,15,24.0,10,319,465.16,437.13,18.4,41,71.3
P00291,2025-01-05,Factory A,Line A,Morning,M101,Semi-Automatic,OP1028,Washing Machine,244,203,13,39.0,12,680,1212.84,361.36,24.6,83,98.1
P00292,2025-07-20,Factory A,Line D,Morning,M113,Semi-Automatic,OP1049,Refrigerator,208,189,3,98.0,9,694,1950.94,213.26,32.8,37,68.0
P00293,2025-12-07,Factory A,Line D,Afternoon,M120,Semi-Automatic,OP1021,Refrigerator,228,177,11,119.0,8,559,1254.95,152.0,25.2,38,94.5
P00294,2025-05-01,Factory C,Line D,Afternoon,M101,Automatic,OP1036,Air Conditioner,291,292,3,50.0,9,309,2425.2,271.96,31.8,79,83.8
P00295,2025-05-08,Factory A,Line D,Morning,M140,Semi-Automatic,OP1098,Refrigerator,370,374,1,45.0,9,1018,1387.25,70.64,27.8,55,99.3
P00296,2025-04-09,Factory A,Line D,Afternoon,M109,Semi-Automatic,OP1006,Microwave,357,316,22,56.0,10,855,1772.89,105.65,21.7,57,72.9
P00297,2025-11-03,Factory C,Line B,Morning,M134,Automatic,OP1058,Washing Machine,419,399,16,69.0,10,764,101.73,296.16,25.6,46,95.3
P00298,2025-11-14,Factory A,Line C,Night,M105,Manual,OP1069,Microwave,497,466,12,67.0,12,1084,1423.52,285.54,24.5,76,72.9
P00299,2025-12-04,Factory A,Line A,Morning,M112,Automatic,OP1026,Refrigerator,229,178,7,24.0,8,332,1470.43,380.43,31.2,68,85.0
P00300,2025-01-26,Factory B,Line B,Night,M105,Automatic,OP1027,Microwave,482,465,5,59.0,8,669,1439.25,423.75,26.3,58,91.8
P00301,2025-09-28,Factory A,Line A,Afternoon,M105,Automatic,OP1067,Refrigerator,209,190,3,92.0,9,844,1024.79,107.08,31.1,71,85.0
P00302,2025-10-13,Factory B,Line A,Night,M137,Semi-Automatic,OP1087,Microwave,271,215,13,113.0,8,470,2001.91,258.74,28.1,77,66.3
P00303,2025-06-30,Factory B,Line C,Afternoon,M127,Manual,OP1056,Washing Machine,487,446,15,72.0,9,684,1937.7,418.61,23.1,63,77.9
P00304,2025-01-18,Factory B,Line A,Night,M109,Semi-Automatic,OP1001,Washing Machine,383,398,14,27.0,10,322,1951.66,425.92,34.4,70,80.5
P00305,2025-03-21,Factory A,Line A,Afternoon,M123,Automatic,OP1018,Washing Machine,472,414,23,113.0,9,538,714.99,152.63,29.4,71,96.7
P00306,2025-09-05,Factory A,Line D,Night,M137,Automatic,OP1077,Washing Machine,219,193,1,93.0,12,380,1972.29,416.8,24.7,62,76.7
P00307,2025-12-01,Factory C,Line A,Night,M125,Automatic,OP1040,Air Conditioner,241,227,1,40.0,9,634,1305.76,118.84,19.0,81,99.9
P00308,2025-09-16,Factory A,Line B,Afternoon,M119,Semi-Automatic,OP1019,Television,408,350,10,10.0,12,885,1888.76,257.96,23.3,60,80.1
P00309,2025-09-04,Factory C,Line B,Afternoon,M126,Manual,OP1074,Television,246,244,17,78.0,9,548,271.95,355.13,24.5,71,63.6
P00310,2025-07-07,Factory B,Line B,Afternoon,M123,Manual,OP1084,Refrigerator,391,352,24,39.0,9,658,1578.93,445.82,26.8,44,77.6
P00311,2025-12-17,Factory B,Line B,Night,M106,Automatic,OP1095,Refrigerator,299,289,7,79.0,9,1189,2097.87,147.27,24.9,42,72.2
P00312,2025-06-19,Factory A,Line B,Morning,M135,Manual,OP1097,Washing Machine,421,434,30,79.0,9,1011,1777.01,32.82,29.7,77,81.1
P00313,2025-01-31,Factory B,Line B,Night,M140,Semi-Automatic,OP1007,Microwave,310,304,20,120.0,8,368,1032.75,140.31,35.0,77,74.4
P00314,2025-05-30,Factory C,Line D,Morning,M125,Manual,OP1091,Refrigerator,235,248,10,62.0,8,490,577.3,435.89,29.2,80,60.9
P00315,2025-06-06,Factory B,Line D,Afternoon,M111,Automatic,OP1045,Washing Machine,306,254,11,80.0,10,541,2490.39,440.9,23.5,38,85.0
P00316,2025-10-12,Factory B,Line B,Morning,M122,Semi-Automatic,OP1085,Television,378,390,5,93.0,12,833,2405.45,285.29,30.5,49,76.7
P00317,2025-08-07,Factory B,Line C,Afternoon,M135,Automatic,OP1027,Television,473,469,37,69.0,9,1183,431.46,317.63,36.0,43,77.2
P00318,2025-03-22,Factory B,Line A,Night,M135,Manual,OP1016,Television,254,197,10,107.0,9,1044,170.76,160.44,37.5,61,72.1
P00319,2025-04-07,Factory A,Line B,Morning,M102,Manual,OP1079,Washing Machine,320,316,19,72.0,9,910,657.24,317.14,25.2,79,91.2
P00320,2025-11-06,Factory B,Line C,Morning,M125,Semi-Automatic,OP1061,Television,248,199,5,24.0,9,333,1080.61,436.75,36.5,61,68.9
P00321,2025-02-03,Factory A,Line D,Night,M132,Manual,OP1042,Microwave,283,272,7,54.0,12,1094,200.38,337.52,25.6,55,75.8
P00322,2025-09-26,Factory C,Line A,Night,M107,Semi-Automatic,OP1059,Refrigerator,472,419,15,66.0,12,1052,194.2,189.64,33.3,38,67.6
P00323,2025-06-05,Factory B,Line D,Morning,M128,Semi-Automatic,OP1079,Refrigerator,405,370,22,66.0,9,774,2091.74,216.97,32.5,42,67.2
P00324,2025-03-11,Factory B,Line D,Afternoon,M129,Automatic,OP1023,Microwave,479,425,12,112.0,12,392,700.2,318.98,36.1,85,66.6
P00325,2025-02-28,Factory C,Line D,Night,M124,Automatic,OP1068,Microwave,243,247,16,78.0,9,687,1420.83,43.66,21.4,56,82.6
P00326,2025-03-16,Factory A,Line A,Afternoon,M120,Semi-Automatic,OP1094,Microwave,256,251,9,80.0,9,420,2256.5,433.18,18.1,83,70.1
P00327,2025-09-13,Factory C,Line A,Night,M132,Automatic,OP1028,Air Conditioner,414,366,21,60.0,12,719,1160.5,280.52,18.1,70,71.1
P00328,2025-01-26,Factory A,Line B,Morning,M123,Automatic,OP1019,Refrigerator,465,454,36,107.0,10,639,2308.92,45.84,26.3,46,66.5
P00329,2025-10-15,Factory A,Line D,Night,M138,Semi-Automatic,OP1005,Refrigerator,325,267,9,41.0,10,688,2068.64,347.34,34.9,39,71.7
P00330,2025-12-22,Factory B,Line C,Night,M127,Manual,OP1027,Television,248,248,19,7.0,8,885,1851.35,292.32,37.7,65,89.0
P00331,2025-08-07,Factory C,Line C,Afternoon,M134,Manual,OP1080,Washing Machine,489,468,8,78.0,12,832,1850.04,236.54,34.2,74,69.3
P00332,2025-01-01,Factory A,Line A,Afternoon,M108,Manual,OP1027,Air Conditioner,328,319,13,52.0,8,641,939.16,367.57,22.2,75,68.0
P00333,2025-02-04,Factory B,Line C,Night,M136,Semi-Automatic,OP1099,Refrigerator,324,307,3,87.0,10,649,1050.52,266.79,37.2,46,67.8
P00334,2025-08-31,Factory A,Line B,Afternoon,M110,Manual,OP1059,Air Conditioner,353,307,10,59.0,12,1060,234.45,246.46,29.3,78,72.6
P00335,2025-04-17,Factory C,Line C,Afternoon,M105,Automatic,OP1036,Refrigerator,454,467,21,,9,884,1553.65,104.64,20.3,85,
P00336,2025-05-20,Factory B,Line A,Afternoon,M116,Semi-Automatic,OP1058,Washing Machine,341,352,6,67.0,10,479,369.36,358.6,33.6,40,77.8
P00337,2025-09-14,Factory A,Line B,Afternoon,M131,Manual,OP1068,Washing Machine,192,146,5,18.0,8,1141,2457.46,244.36,37.9,48,89.0
P00338,2025-09-25,Factory A,Line A,Afternoon,M103,Manual,OP1077,Refrigerator,415,381,10,59.0,8,405,1349.39,305.07,24.2,71,90.3
P00339,2025-04-13,Factory A,Line C,Afternoon,M135,Semi-Automatic,OP1099,Microwave,287,261,3,34.0,9,461,756.73,31.48,30.5,67,64.1
P00340,2025-10-09,Factory B,Line C,Morning,M119,Manual,OP1032,Television,457,428,4,39.0,10,853,1164.75,80.28,27.4,78,62.0
P00341,2025-02-14,Factory B,Line D,Morning,M139,Manual,OP1081,Microwave,376,385,19,45.0,10,640,2061.86,327.98,31.4,69,63.1
P00342,2025-03-09,Factory A,Line D,Morning,M130,Semi-Automatic,OP1088,Microwave,418,361,15,29.0,9,447,2166.63,287.2,36.3,60,67.3
P00343,2025-08-21,Factory B,Line A,Morning,M131,Automatic,OP1045,Microwave,349,323,14,108.0,9,589,1943.06,281.89,20.5,41,76.2
P00344,2025-10-12,Factory C,Line A,Afternoon,M135,Semi-Automatic,OP1052,Air Conditioner,234,208,13,30.0,9,861,481.65,230.01,19.3,48,92.6
P00345,2025-08-11,Factory C,Line C,Night,M116,Automatic,OP1085,Refrigerator,482,442,31,14.0,12,633,1432.21,374.36,21.5,60,62.8
P00346,2025-06-17,Factory B,Line A,Morning,M114,Automatic,OP1075,Refrigerator,235,202,4,84.0,9,763,1375.01,190.74,29.6,47,68.2
P00347,2025-10-19,Factory C,Line C,Afternoon,M123,Automatic,OP1075,Refrigerator,342,319,19,65.0,12,1167,406.13,150.03,25.4,70,98.7
P00348,2025-07-03,Factory A,Line C,Morning,M116,Semi-Automatic,OP1090,Air Conditioner,180,124,6,80.0,10,1028,1018.7,187.17,28.9,77,66.9
P00349,2025-10-12,Factory B,Line C,Afternoon,M110,Semi-Automatic,OP1086,Television,251,242,4,1.0,8,963,137.7,331.57,27.7,62,99.0
P00350,2025-03-12,Factory C,Line D,Afternoon,M139,Semi-Automatic,OP1080,Television,249,254,14,65.0,12,865,2068.17,188.5,22.5,62,84.2
P00351,2025-05-02,Factory C,Line C,Afternoon,M135,Manual,OP1047,Refrigerator,475,427,2,72.0,12,1021,984.59,271.61,37.2,40,65.7
P00352,2025-08-27,Factory C,Line A,Night,M140,Automatic,OP1032,Microwave,449,429,4,87.0,10,927,226.66,171.01,33.6,65,78.2
P00353,2025-06-19,Factory B,Line C,Afternoon,M119,Automatic,OP1005,Air Conditioner,420,362,23,38.0,10,362,1610.32,270.71,29.5,77,99.6
P00354,2025-05-27,Factory B,Line A,Morning,M133,Automatic,OP1036,Washing Machine,499,511,8,78.0,10,581,2158.86,31.04,20.2,46,96.4
P00355,2025-07-09,Factory A,Line C,Night,M116,Semi-Automatic,OP1024,Air Conditioner,257,215,1,43.0,8,448,1529.31,374.23,34.8,83,99.7
P00356,2025-12-05,Factory B,Line B,Morning,M137,Manual,OP1045,Refrigerator,376,361,20,33.0,8,353,502.24,194.47,24.0,82,97.9
